Yes,140,2
Yes,149,14
Yes,161,28
Yes,175,43
Yes,190,58
Yes,208,75
Yes,228,92
Yes,246,108
Yes,265,123
Yes,285,138
Yes,305,155
Yes,328,171
Yes,352,186
Yes,378,202
Yes,406,222
Yes,435,238
Yes,467,258
Yes,500,278
Yes,532,299
Yes,564,322
Yes,597,343
Yes,630,366
Yes,665,389
Yes,697,410
Yes,725,431
Yes,748,449
Yes,767,464
Yes,784,475
Yes,797,485
Yes,809,494
Yes,820,502
Yes,829,510
Yes,838,518
Yes,845,524
Yes,853,530
Yes,859,536
Yes,864,541
Yes,869,545
Yes,874,548
Yes,877,551
Yes,879,553
Yes,881,555
Yes,882,558
Yes,883,558
Yes,885,561
Yes,888,562
Yes,891,565
Yes,896,569
Yes,897,570
Yes,899,571
Yes,900,572
Yes,900,573
Yes,900,574
Yes,898,574
Yes,895,574
Yes,892,576
Yes,886,576
Yes,883,576
Yes,879,577
Yes,876,577
Yes,872,578
Yes,864,578
Yes,856,578
Yes,846,579
Yes,835,581
Yes,823,582
Yes,812,582
Yes,802,582
Yes,791,582
Yes,782,582
Yes,774,582
Yes,767,582
Yes,760,582
Yes,755,582
Yes,751,582
Yes,747,582
Yes,742,581
Yes,738,579
Yes,733,577
Yes,728,575
Yes,723,574
Yes,716,571
Yes,708,570
Yes,703,567
Yes,697,566
Yes,692,565
Yes,686,562
Yes,685,562
Yes,683,562
Yes,679,561
Yes,674,560
Yes,672,560
Yes,668,559
Yes,662,558
Yes,656,555
Yes,651,554
Yes,645,551
Yes,640,550
Yes,639,550
Yes,637,549
Yes,634,544
Yes,633,544
Yes,630,542
Yes,627,542
Yes,624,540
Yes,622,540
Yes,620,538
Yes,615,536
Yes,612,535
Yes,607,533
Yes,601,532
Yes,600,531
Yes,599,530
Yes,596,530
Yes,594,528
Yes,593,528
Yes,592,527
Yes,587,526
Yes,584,525
Yes,580,524
Yes,574,522
Yes,569,521
Yes,567,521
Yes,565,521
Yes,561,520
Yes,560,520
Yes,559,520
Yes,558,520
Yes,556,520
Yes,555,520
Yes,554,520
Yes,552,520
Yes,550,519
Yes,548,519
Yes,546,518
Yes,545,518
Yes,543,518
Yes,541,518
Yes,540,518
Yes,536,518
Yes,535,518
Yes,532,518
Yes,530,518
Yes,525,515
Yes,524,515
Yes,522,515
